8/17/2011,22:03,6,9300 KEARNY MESA RD,32.8923566,-117.1184286
8/18/2011,0:00,M,4800 LA CUENTA DR,32.8185525,-117.0998757
8/18/2011,0:01,Y,11300 SURCO DR,32.9272121,-117.144855
8/19/2011,5:00,6,4400 MARSEILLES ST,32.7243665,-117.2532963
8/19/2011,14:25,6,1500 INDIA ST,32.7208991,-117.1683255
8/20/2011,0:00,6,3700 WABASH AV,32.7471664,-117.1200564
8/20/2011,13:50,A,5800 DIVISION ST,32.6927877,-117.0734487
8/20/2011,13:50,6,1400 HOTEL CIRCLE NORTH,32.7598392,-117.1751901
8/21/2011,0:01,F,7700 BELDEN ST,32.8106343,-117.1573201
8/21/2011,10:35,V,11200 SPENCERPORT WY,32.9222207,-117.0986075
8/21/2011,6:30,S,4600 SEMINOLE DR,32.7606353,-117.0612408
8/22/2011,9:30,F,8600 INNSDALE LN,32.7060233,-117.020973
8/22/2011,13:00,6,3400 COLLEGE AV,32.7429847,-117.0519586
8/22/2011,12:00,A,4800 CLAIREMONT MESA BL,32.8345561,-117.1870536
8/23/2011,0:00,5,500 WASHINGTON ST,32.749974,-117.1684424
8/23/2011,1:30,M,9500 CARMEL MOUNTAIN RD,32.9659445,-117.1221951
8/24/2011,8:00,F,2800 GREGORY ST,32.7349316,-117.1206861
8/24/2011,0:05,5,3100 MAIN ST,32.6928498,-117.1272635
8/24/2011,12:00,F,5700 MEADE AV,32.7567722,-117.0736784
8/24/2011,19:05,F,6900 ALCONA ST,32.6865415,-117.0448351
8/24/2011,18:00,5,3700 CLAIREMONT MESA BL,32.8277853,-117.2077794
8/24/2011,12:00,4,4400 56TH ST,32.756763,-117.0749867
8/25/2011,10:40,A,7800 MISSION VISTA DR,32.8117401,-117.0692031
8/25/2011,10:00,F,5600 SOLEDAD RD,32.8208059,-117.2407759
8/25/2011,10:00,6,2400 HOTEL CIRCLE PL,32.7604306,-117.1869118
8/26/2011,13:15,6,2400 ULRIC ST,32.7866881,-117.1708065
8/27/2011,17:30,4,1500 WASHINGTON PL,32.7499212,-117.1768684
8/27/2011,7:00,6,600 16TH ST,32.7115524,-117.1494791
8/28/2011,10:22,A,3400 ALABAMA ST,32.7423443,-117.1422936
